month,issued_credits,retired_credits,overcrediting_tCO2,gross_revenue_usd
2020-01-01,,,,
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,75676.4,27266.42,19373.85,162579.3
2020-07-01,76678.64,27391.03,19514.35,164095.62
2020-08-01,77951.81,27551.01,20071.22,172328.74
2020-09-01,79061.08,27694.52,20464.21,174099.33
2020-10-01,80066.49,28063.92,20813.44,183861.94
2020-11-01,80980.96,28520.66,21121.58,196653.39
2020-12-01,81593.31,28536.34,21168.32,195141.43
2021-01-01,82327.61,28696.8,21446.85,195972.66
2021-02-01,82704.98,28944.02,21333.42,190322.03
2021-03-01,82836.81,28625.24,21136.0,189779.0
2021-04-01,83089.09,28526.0,21088.44,187110.57
2021-05-01,83265.74,28149.27,21083.91,181472.26
2021-06-01,83337.88,28436.24,21056.28,186921.34
2021-07-01,83133.37,28414.39,20855.42,188695.3
2021-08-01,82871.19,28223.34,20713.16,188846.85
2021-09-01,82925.21,28234.5,20988.16,196898.91
2021-10-01,82454.12,28327.55,20847.49,196800.64
2021-11-01,82028.97,27986.45,20815.51,193464.96
2021-12-01,81606.59,27966.99,20884.11,194156.42
2022-01-01,80976.6,28017.96,20795.44,192657.41
2022-02-01,80161.56,27834.47,20601.5,194430.81
2022-03-01,78938.69,27622.13,19956.58,192611.18
2022-04-01,78089.19,27412.43,19794.38,194848.9
2022-05-01,77021.41,27606.43,19473.8,201766.36
2022-06-01,75977.69,27088.35,19248.33,192905.7
2022-07-01,74782.1,26252.45,18856.26,193513.53
2022-08-01,73783.29,26050.3,18678.92,193617.9
2022-09-01,72850.96,25844.34,18619.07,187781.44
2022-10-01,71501.48,24973.14,18082.96,186693.73
2022-11-01,70421.07,24172.63,17879.65,179085.22
2022-12-01,69346.99,23652.3,17613.36,177881.72
2023-01-01,68433.64,23564.41,17506.66,173072.12
2023-02-01,67341.49,23179.97,17159.52,170415.46
2023-03-01,66355.32,22750.41,16903.38,172065.46
2023-04-01,65503.58,22759.59,16707.84,169948.64
2023-05-01,64695.12,22833.34,16445.79,173696.55
2023-06-01,63815.28,22333.05,16048.75,173094.3
2023-07-01,63035.67,22232.82,15689.91,179215.55
2023-08-01,62587.71,22082.55,15627.92,177105.22
2023-09-01,62102.19,21642.81,15397.45,171434.25
2023-10-01,61890.6,21454.0,15421.67,173044.99
2023-11-01,61715.9,21617.32,15367.87,176810.81
2023-12-01,61700.7,22123.33,15401.4,184787.85
2024-01-01,61827.36,22140.25,15454.92,185581.05
2024-02-01,62035.31,22064.33,15506.46,186808.49
2024-03-01,62413.33,22249.26,15647.5,190087.07
2024-04-01,62899.63,22391.12,15805.94,190820.84
2024-05-01,63519.94,21759.65,16016.55,184876.56
2024-06-01,64205.94,21510.09,16205.12,183543.54
2024-07-01,65049.9,21916.94,16508.88,186611.83
2024-08-01,65813.63,22460.82,16628.19,190753.24
2024-09-01,66614.43,22911.86,16730.7,199962.54
2024-10-01,67678.85,23577.07,17064.33,202145.64
2024-11-01,68565.28,24332.18,17156.3,211781.04
2024-12-01,69996.41,25037.37,17860.63,218661.62
